qualified_third_groups,match_id,third_group
B-D-E-F-G-I-K-L,M87,L
B-D-E-F-G-I-J-L,M74,D
B-D-E-F-G-I-J-L,M77,F
B-D-E-F-G-I-J-L,M79,E
B-D-E-F-G-I-J-L,M80,I
B-D-E-F-G-I-J-L,M81,B
B-D-E-F-G-I-J-L,M82,J
B-D-E-F-G-I-J-L,M85,G
B-D-E-F-G-I-J-L,M87,L
B-D-E-F-G-I-J-K,M74,D
B-D-E-F-G-I-J-K,M77,F
B-D-E-F-G-I-J-K,M79,E
B-D-E-F-G-I-J-K,M80,K
B-D-E-F-G-I-J-K,M81,B
B-D-E-F-G-I-J-K,M82,J
B-D-E-F-G-I-J-K,M85,G
B-D-E-F-G-I-J-K,M87,I
B-D-E-F-G-H-K-L,M74,D
B-D-E-F-G-H-K-L,M77,F
B-D-E-F-G-H-K-L,M79,E
B-D-E-F-G-H-K-L,M80,K
B-D-E-F-G-H-K-L,M81,B
B-D-E-F-G-H-K-L,M82,H
B-D-E-F-G-H-K-L,M85,G
B-D-E-F-G-H-K-L,M87,L
B-D-E-F-G-H-J-L,M74,D
B-D-E-F-G-H-J-L,M77,F
B-D-E-F-G-H-J-L,M79,H
B-D-E-F-G-H-J-L,M80,E
B-D-E-F-G-H-J-L,M81,B
B-D-E-F-G-H-J-L,M82,J
B-D-E-F-G-H-J-L,M85,G
B-D-E-F-G-H-J-L,M87,L
B-D-E-F-G-H-J-K,M74,D
B-D-E-F-G-H-J-K,M77,F
B-D-E-F-G-H-J-K,M79,H
B-D-E-F-G-H-J-K,M80,K
B-D-E-F-G-H-J-K,M81,B
B-D-E-F-G-H-J-K,M82,J
B-D-E-F-G-H-J-K,M85,G
B-D-E-F-G-H-J-K,M87,E
B-D-E-F-G-H-I-L,M74,D
B-D-E-F-G-H-I-L,M77,F
B-D-E-F-G-H-I-L,M79,E
B-D-E-F-G-H-I-L,M80,I
B-D-E-F-G-H-I-L,M81,B
B-D-E-F-G-H-I-L,M82,H
B-D-E-F-G-H-I-L,M85,G
B-D-E-F-G-H-I-L,M87,L
B-D-E-F-G-H-I-K,M74,D
B-D-E-F-G-H-I-K,M77,F
B-D-E-F-G-H-I-K,M79,E
B-D-E-F-G-H-I-K,M80,K
B-D-E-F-G-H-I-K,M81,B
B-D-E-F-G-H-I-K,M82,H
B-D-E-F-G-H-I-K,M85,G
B-D-E-F-G-H-I-K,M87,I
B-D-E-F-G-H-I-J,M74,D
B-D-E-F-G-H-I-J,M77,F
B-D-E-F-G-H-I-J,M79,H
B-D-E-F-G-H-I-J,M80,I
B-D-E-F-G-H-I-J,M81,B
B-D-E-F-G-H-I-J,M82,J
B-D-E-F-G-H-I-J,M85,G
B-D-E-F-G-H-I-J,M87,E
B-C-G-H-I-J-K-L,M74,C
B-C-G-H-I-J-K-L,M77,G
B-C-G-H-I-J-K-L,M79,H
B-C-G-H-I-J-K-L,M80,K
B-C-G-H-I-J-K-L,M81,B
B-C-G-H-I-J-K-L,M82,I
B-C-G-H-I-J-K-L,M85,J
B-C-G-H-I-J-K-L,M87,L
B-C-F-H-I-J-K-L,M74,C
B-C-F-H-I-J-K-L,M77,F
B-C-F-H-I-J-K-L,M79,H
B-C-F-H-I-J-K-L,M80,K
B-C-F-H-I-J-K-L,M81,B
B-C-F-H-I-J-K-L,M82,I
